Pos,Nome,Categ,Swim,Bike,Run,Total
22,JORGE HENRIQUE ARBEX,45-49,00:29:39,02:39:55,01:50:15,05:06:11
59,SAULO FILHO,35-39,00:34:36,02:43:42,01:40:34,05:06:18
60,HENRIQUE PINTO,35-39,00:33:35,02:32:22,01:51:13,05:06:22
23,DANIEL DA COSTA FERNANDES DE FREITAS,45-49,00:30:30,02:45:37,01:41:03,05:06:34
25,PEDRO PASSIDOMO,25-29,00:26:08,02:48:05,01:46:51,05:07:01
44,GUILHERME GONCALVES,40-44,00:29:27,02:43:46,01:47:12,05:07:06
45,WILLIAM DOS SANTOS,40-44,00:29:53,02:44:09,01:47:46,05:07:37
62,RENAN SBARAINI DELAVALD,35-39,00:33:15,02:39:30,01:48:42,05:07:39
63,DÁRIO CUNHA,35-39,00:34:13,02:45:04,01:40:44,05:07:44
46,BRUNO BORBA LEITE,40-44,00:29:36,02:47:35,01:44:45,05:08:10
64,CLEBER BELLUCCI,35-39,00:36:22,02:39:40,01:45:33,05:08:13
4,MARINHO BARCELLOS,50-54,00:37:06,02:35:24,01:43:06,05:08:19
65,SERGIO ROBERTO FERREIRA JUNIOR,35-39,00:34:18,02:39:48,01:48:52,05:08:49
66,CAIO GURGEL,35-39,00:29:20,02:41:06,01:50:29,05:08:55
44,RAFAEL STAMBASSI BASTOS,30-34,00:34:27,02:35:11,01:52:23,05:08:56
67,LUIZ AGUIRRE,35-39,00:31:58,02:45:50,01:45:19,05:08:58
45,AUGUSTO OLIVEIRA,30-34,00:35:43,02:40:24,01:46:42,05:09:07
47,BRUNO GARCIA,40-44,00:31:46,02:45:22,01:45:34,05:09:27
68,GIOVANI RAFAGNIN,35-39,00:31:49,02:48:20,01:42:35,05:09:33
48,GUTEMBERG GUTO,40-44,00:32:08,02:40:52,01:50:51,05:09:38
Pos,Nome,Categ,Swim,Bike,Run,Total
25,FABIO STOLL,45-49,00:33:16,02:43:25,01:44:04,05:09:46
46,GUILHERME MACCHI,30-34,00:33:18,02:40:47,01:48:51,05:09:49
26,MAURICIO ARCANJO DE OLIVEIRA,45-49,00:41:19,02:47:55,01:30:56,05:10:03
2,DENISE FIORIO,40-44,00:32:38,02:47:21,01:44:52,05:10:10
27,RODRIGO CONTI,45-49,00:40:23,02:34:09,01:47:16,05:10:19
49,MARCOS FLORENTINO,40-44,00:36:36,02:37:31,01:49:23,05:10:20
69,EDUARDO KLEINE,35-39,00:35:41,02:37:18,01:49:28,05:10:24
47,JOSE RICARDO FERREIRA DE ALBUQUERQUE JUNIOR,30-34,00:31:38,02:35:17,01:56:09,05:10:28
27,RENAN FELIPE SILVA DOS SANTOS,25-29,00:31:49,02:49:24,01:41:31,05:10:31
48,LUIZ EDUARDO MARTINHÃO,30-34,00:32:49,02:53:31,01:36:33,05:11:04
71,FELIPE SILVA ALVAREZ,35-39,00:29:43,02:25:17,02:11:29,05:11:08
49,GIANFRANCO POLI,30-34,00:41:31,02:37:47,01:45:04,05:11:11
51,PEDRO HENRIQUE PEDROSA DE OLIVEIRA,30-34,00:34:55,02:43:11,01:46:37,05:11:37
28,MURILLO ORLANDI,25-29,00:30:31,02:44:48,01:48:31,05:11:49
51,DANNIEL CURVELO,40-44,00:32:09,02:46:24,01:48:28,05:11:56
73,VINÍCIUS PAIVA,35-39,00:35:23,02:33:13,01:57:32,05:11:56
29,GUSTAVO CORRÊA,25-29,00:33:16,02:37:57,01:55:56,05:12:01
74,ANTONIO GUSTAVO DA SILVA PEREIRA,35-39,00:35:53,02:53:26,01:36:12,05:12:08
30,MARCELO HENRIQUE MESQUITA ALMEIDA,25-29,00:33:10,02:42:47,01:51:04,05:12:11
29,MARCELO ROCHA CASAGRANDE,45-49,00:31:03,02:35:33,01:57:43,05:12:11
75,ANDERSON MACHADO,35-39,00:29:55,02:52:21,01:42:20,05:12:20
52,FELIPE PEREIRA SOARES,40-44,00:36:58,02:47:22,01:39:28,05:12:21
6,CRISTIANNE MAROSO DOS SANTOS,35-39,00:38:45,02:44:38,01:43:22,05:12:26
76,WILLIAM PAIVA CHAVES,35-39,00:32:39,02:45:12,01:49:34,05:12:37
52,RICARDO CASADO,30-34,00:33:18,--:--:--,01:46:23,05:12:40
2,LARISSA FURLAN,25-29,00:31:23,02:56:43,01:39:43,05:12:47
53,AMAURI DOMINGUES,30-34,00:32:57,02:33:14,02:00:57,05:12:52
77,GEOVANI E GIANE MIRANDA,35-39,00:34:51,02:42:21,01:47:02,05:13:02
54,SERGIO BRUNO ALVES FERREIRA,30-34,00:31:19,02:52:00,01:41:02,05:13:06
53,RENATO MEDEIROS NETTO,40-44,00:33:58,02:32:04,01:58:57,05:13:11
Pos,Nome,Categ,Swim,Bike,Run,Total
3,NATALLY COSTA,25-29,00:33:19,02:49:37,01:44:55,05:13:20
54,ANDRÉ PICANCO,40-44,00:33:48,02:44:46,01:46:54,05:13:26
4,ANA LUIZA AMOEDO,25-29,00:33:52,02:50:27,01:43:13,05:13:27
31,MARCELO SCHIAVON,45-49,00:27:56,02:39:45,01:58:36,05:13:39
3,AGATHA MARQUES PEIXOTO,30-34,00:32:02,02:47:04,01:46:51,05:13:50
6,VICTOR MARCELO  PEREIRA,50-54,00:33:13,02:36:29,01:58:18,05:13:51
7,GUILHERME RIBEIRO MACHADO,50-54,00:33:09,02:52:19,01:40:46,05:13:52
7,RAFAELA MAURINA,35-39,00:41:51,02:49:23,01:36:21,05:13:59
78,SERGIO ALMEIDA JUNIOR,35-39,00:24:13,03:01:17,01:42:31,05:14:01
32,FERNANDO FIGUEIRA,25-29,00:38:07,02:41:07,01:47:56,05:14:24
32,BRUNO GUEDES,45-49,00:35:27,02:40:35,01:48:38,05:14:26
8,FERNANDA ANGOTTI CUCOLO,35-39,00:30:41,02:56:53,01:42:13,05:14:30
55,YURI MARTINS,30-34,00:32:23,02:39:41,01:57:17,05:14:48
56,ANDREAS YAMAGATA,40-44,00:29:54,02:44:11,01:53:53,05:14:53
56,LUCAS NAEGELI CHAVES,30-34,00:33:50,02:37:26,01:57:24,05:15:02
33,IGOR MATHEUS,25-29,00:37:48,02:46:30,01:43:46,05:15:18
33,FABRÍCIO FERRAZ PERUZZO,45-49,00:30:05,02:42:03,01:57:22,05:15:27
34,JORGE AUGUSTO CASTRO CARVALHO,45-49,00:32:09,02:41:56,01:53:17,05:15:39
57,FELIPE SCRIVANO AMARAL,30-34,00:37:02,02:44:18,01:47:31,05:15:59
9,SAYONARA MONÇÃO,35-39,00:42:11,02:45:07,01:43:59,05:16:47
58,ANDRE KUIM,30-34,00:33:01,02:44:00,01:44:59,05:17:11
81,EDUARDO HOLANDA,35-39,00:35:39,02:43:41,01:49:57,05:17:13
35,MARCELLO POPULO,45-49,00:33:32,02:53:49,01:42:05,05:17:17
57,FABIANO CONTI,40-44,00:32:16,02:40:19,01:56:59,05:17:39
82,CLÉBIO BATISTA,35-39,00:33:12,02:51:33,01:45:55,05:17:43
83,DANIEL DUTRA,35-39,00:32:51,02:48:23,01:52:06,05:17:51
34,LUIS HENRIQUE TASSO,25-29,00:34:07,02:41:00,01:56:05,05:17:52
35,JOAO PEDRO GAYOSO,25-29,00:34:12,02:46:03,01:49:16,05:17:58
1,ALEJANDRO RODRIGUEZ COMAS,60-64,00:34:23,02:47:09,01:48:54,05:18:03
59,ROSEMBERG PEREIRA DIAS JUNIOR,30-34,00:40:01,02:45:16,01:47:11,05:18:07
Pos,Nome,Categ,Swim,Bike,Run,Total
60,MARCELO FERREIRA PERIM,30-34,00:39:29,02:38:02,01:51:31,05:18:17
36,TIAGO CAMARGO HAIB,25-29,00:29:26,02:43:12,01:58:16,05:18:29
85,CLEBER ALMEIDA DE CAMPOS,35-39,00:29:42,02:56:29,01:45:32,05:18:37
58,DANIEL CORREIA,40-44,00:33:19,02:50:15,01:46:23,05:18:39
37,JOAO PAULO  MORAES,25-29,00:30:10,02:44:32,01:58:23,05:18:54
36,FERNANDO HENRIQUE DO NASCIMENTO LEAL,45-49,00:34:32,02:42:08,01:55:41,05:19:11
86,PABLO SIQUEIRA,35-39,00:35:35,02:45:01,01:52:57,05:19:20
37,JOSE JAYME MORAES JUNIOR,45-49,00:30:14,02:50:09,01:52:37,05:19:32
5,JOSÉ HENRIQUE PAIVA,55-59,00:32:24,02:51:57,01:48:27,05:19:35
4,CAROLINA CAGNO,30-34,00:28:42,02:51:46,01:53:02,05:19:36
60,LUIGI ALVES MASSARO,40-44,00:35:35,02:48:05,01:48:43,05:19:57
5,JULIANA SCHER,25-29,00:32:16,02:57:40,01:43:26,05:20:03
87,MARCELO KENDY KANESHIRO,35-39,00:42:20,02:46:36,01:44:36,05:20:04
38,VICTOR BRANCO,25-29,00:43:03,02:41:51,01:47:09,05:20:13
40,ARTHUR XAVIER,45-49,00:33:58,02:41:55,01:59:51,05:20:52
40,ROGER MOFATI INÁCIO,25-29,00:40:11,02:43:58,01:48:28,05:20:53
62,NILSON SANDOVAL,30-34,00:36:07,02:45:46,01:52:41,05:21:08
89,FRANCISCO MARCONDES,35-39,00:34:50,02:48:15,01:51:22,05:21:10
63,CAIO SOUZA,30-34,00:34:07,02:48:11,01:49:33,05:21:10
63,ANTONIO CARLOS THEODORO,40-44,00:37:19,02:40:16,01:56:36,05:21:12
64,EDUARDO LEAL,30-34,00:34:20,02:49:45,01:51:14,05:21:17
64,EDUARDO RENAUD,40-44,00:33:56,02:42:25,01:55:57,05:21:17
41,EDUARDO MARQUES,45-49,00:31:13,02:55:09,01:48:46,05:21:20
90,ANDERSON CARDOSO DE ALMEIDA,35-39,00:35:31,02:56:00,01:38:07,05:21:28
91,FABRÍCIO MARCONDES LUCIANO DA SILVA,35-39,00:31:51,02:49:05,01:54:18,05:21:45
10,RACHEL RÜEGGER RAHAL,35-39,00:32:03,02:53:53,01:49:30,05:21:46
65,GUSTAVO FEITOSA FELIZZOLA,40-44,00:33:29,02:46:06,01:54:19,05:22:01
11,TATIANE HEDIGER,35-39,00:35:21,02:59:25,01:42:07,05:22:07
92,RODRIGO JUNG,35-39,00:40:53,02:39:34,01:53:26,05:22:15
42,LUÍS HENRIQUE SANTANA DA CRUZ,45-49,00:35:03,02:58:09,01:40:31,05:22:21
